,Age,Gender,Location,Income,Decision maker,movie ticket,medium pizza,coca cola,oven,shampoo,Leisure; entertainment and travel.1,Food and dishes.1,Commodities and groceries.1,Productivity; gadgets and technology.1,Lifestyle; beauty and clothing.1,decrease Leisure; entertainment and travel,decrease Food and dishes,decrease Commodities and groceries,decrease Productivity; gadgets and technology,decerase Lifestyle; beauty and clothing,payment preference,shopping preference,planned or preplanned,transaction frequency,willingness for additional charges,feeling towards discount_online,brand charges more than another_online,time category,movie ticket price,medium pizza price,coca cola price,oven price,shampoo price,Leisure; entertainment and travel,Food and dishes,Commodities and groceries,Productivity; gadgets and technology,Lifestyle; beauty and clothing,Age_encoded,feeling towards discount,brand charges more than another
64,18-24,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",200,350,60,2500,140,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Overestimated,Overestimated,Underestimated,Underestimated,2,1,1,2,2,0,0,2
65,18-24,Male,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",330,400,50,25000,250,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,More Frequent,0.1,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,1,1,2,2,0,2,0
66,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,280,50,14000,275,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Accurate,Overestimated,Overestimated,Accurate,2,1,1,2,2,0,0,0
67,18-24,Female,Kolkata,"Rs. 2,00,000- 5,00,000",No,330,350,50,25000,275,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Indifferent,Indifferent,0,The deal is genuine,In most cases I feel the price is justified because the product is better,No Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,2,2,2,2,2,0,0,1
68,25-34,Male,Other,"Above Rs. 5,00,000","Yes, for the whole household",220,300,70,14000,275,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Accurate,Overestimated,Overestimated,Accurate,1,1,0,2,2,1,2,0
69,18-24,Female,Kolkata,"Rs. 50,000- 2,00,000","Yes, but only for myself",330,450,50,18000,175,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,1,2,0,1,2,0,1,2
70,18-24,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,550,30,20000,500,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Digital,Online,,,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Underestimated,Overestimated,Overestimated,1,1,1,1,2,0,2,1
71,18-24,Female,Other,"Rs. 2,00,000- 5,00,000",No,350,350,70,14000,175,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Indifferent,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,2,1,1,2,1,0,1,0
72,25-34,Male,Kolkata,"Above Rs. 5,00,000","Yes, for the whole household",380,350,100,18000,275,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,0,1,1,2,1,1,2,1
73,18-24,Male,Bangalore,"Above Rs. 5,00,000","Yes, but only for myself",350,350,150,19000,175,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Cash,Offline,Pre Planned,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Excessive Time,Overestimated,Overestimated,Overestimated,Overestimated,Underestimated,0,1,1,2,1,0,2,0
74,18-24,Female,Delhi/NCR,"Above Rs. 5,00,000",No,350,300,70,20000,250,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Accurate,Overestimated,Overestimated,Accurate,2,2,1,1,2,0,2,1
75,25-34,Female,Mumbai,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",350,400,50,50000,275,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Cash,Indifferent,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,2,0,2,0,1,1,1
76,18-24,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",300,200,40,30000,300,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Accurate,Accurate,Overestimated,Accurate,1,2,1,1,2,0,1,2
77,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",500,500,45,30000,250,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Digital,Online,Pre Planned,More Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Accurate,2,1,2,0,2,0,1,0
78,18-24,Male,Bangalore,"Rs. 50,000- 2,00,000",No,200,250,30,25000,100,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Underestimated,Overestimated,Underestimated,2,1,1,2,2,0,2,0
79,18-24,Female,Delhi/NCR,"Below Rs. 50,000",No,300,350,30,12000,150,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Underestimated,Overestimated,Underestimated,1,1,1,2,2,0,1,1
80,25-34,Female,Other,"Below Rs. 50,000",No,250,280,35,15000,150,No,No,No,No,No,Yes,Yes,Yes,No,No,Cash,Offline,Pre Planned,,0.2,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,2,2,2,2,2,1,1,0
81,18-24,Female,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",150,250,40,25000,250,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Underestimated,Accurate,Accurate,Overestimated,Accurate,2,2,2,2,2,0,1,2
82,18-24,Female,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",180,400,200,8000,300,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Digital,Offline,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Underestimated,Overestimated,Overestimated,Accurate,Accurate,1,2,1,2,1,0,1,2
83,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,500,40,10000,250,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,2,2,2,2,0,1,0
84,18-24,Male,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",250,500,40,8000,300,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Accurate,2,2,1,2,2,0,2,0
85,18-24,Male,Delhi/NCR,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",200,450,40,8000,300,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Accurate,Accurate,Accurate,2,1,1,1,2,0,1,0
86,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",300,400,50,4000,600,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Digital,Offline,Spontaneous,Less Frequent,0.05,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Very Little Time,Accurate,Overestimated,Overestimated,Underestimated,Overestimated,1,2,1,1,2,0,2,2
87,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,250,50,10000,190,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Digital,Online,Indifferent,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,2,1,1,1,2,0,1,0
88,18-24,Female,Kolkata,"Below Rs. 50,000",No,250,280,30,6000,240,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Digital,Indifferent,Pre Planned,Indifferent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Underestimated,Underestimated,Accurate,1,1,1,2,1,0,0,1
89,18-24,Male,Other,"Below Rs. 50,000","Yes, but only for myself",230,250,30,4500,210,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Indifferent,Online,Pre Planned,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Accurate,Underestimated,Underestimated,Underestimated,2,2,1,1,2,0,2,0
90,18-24,Female,Mumbai,"Below Rs. 50,000","Yes, but only for myself",280,300,30,6500,250,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Digital,Online,Indifferent,More Frequent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Underestimated,Accurate,Accurate,2,2,1,1,1,0,0,1
91,18-24,Female,Kolkata,"Below Rs. 50,000",No,180,280,30,5000,220,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Digital,Indifferent,Indifferent,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Underestimated,Accurate,Underestimated,Underestimated,Underestimated,1,2,1,1,1,0,1,0
92,18-24,Female,Mumbai,"Below Rs. 50,000","Yes, but only for myself",250,275,30,5500,200,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Indifferent,Online,Pre Planned,More Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Accurate,Underestimated,Underestimated,Underestimated,1,1,1,1,2,0,0,0
93,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,200,400,40,,200,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Cash,Offline,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Underestimated,2,2,2,2,2,0,1,0
94,18-24,Male,Other,"Rs. 2,00,000- 5,00,000",No,300,500,40,10000,300,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,1,1,0,2,2,0,1,1
95,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,300,450,40,7000,300,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Accurate,2,2,2,2,2,0,2,0
96,18-24,Female,Bangalore,"Below Rs. 50,000","Yes, for the whole household",260,340,40,6000,180,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Digital,Indifferent,Indifferent,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Underestimated,Underestimated,1,1,1,2,1,0,1,0
97,18-24,Female,Bangalore,"Below Rs. 50,000","Yes, but only for myself",250,300,150,30000,200,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Digital,Offline,Spontaneous,Indifferent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,1,2,1,1,2,0,1,1
98,18-24,Male,Bangalore,"Below Rs. 50,000","Yes, but only for myself",250,200,30,5000,200,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,More Frequent,0.1,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Moderate Time,Accurate,Accurate,Underestimated,Underestimated,Underestimated,2,1,1,1,2,0,0,2
99,35-54,Female,Other,"Above Rs. 5,00,000",No,250,250,100,4000,100,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Digital,Indifferent,Spontaneous,Indifferent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,2,2,2,2,1,2,1,1
100,18-24,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",250,450,35,10000,350,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,2,1,1,2,0,1,2
101,18-24,Male,Other,"Rs. 50,000- 2,00,000",No,200,450,45,10000,240,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,More Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,2,2,2,2,0,2,0
102,18-24,Male,Delhi/NCR,"Rs. 50,000- 2,00,000",No,300,500,400,8000,350,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Pre Planned,Less Frequent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Overestimated,Accurate,Accurate,2,2,1,1,2,0,2,0
103,18-24,Male,Other,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,400,40,10000,280,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Accurate,Overestimated,Accurate,Overestimated,Accurate,2,2,1,1,2,0,1,2
104,18-24,Female,Delhi/NCR,"Rs. 2,00,000- 5,00,000",No,400,200,40,15000,100,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Accurate,Accurate,Overestimated,Underestimated,1,2,2,2,1,0,1,1
105,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,300,400,200,5000,400,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Moderate Time,Accurate,Overestimated,Overestimated,Underestimated,Overestimated,2,2,2,2,1,0,0,1
106,18-24,Male,Kolkata,"Below Rs. 50,000",No,250,300,50,250000,200,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Spontaneous,Less Frequent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Accurate,Overestimated,Overestimated,Underestimated,2,2,1,2,2,0,1,1
107,25-34,Female,Other,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",350,395,45,50000,350,No,,Yes,No,Yes,Yes,No,Yes,No,Yes,Indifferent,Indifferent,Indifferent,Indifferent,0.2,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Accurate,1,1,1,1,1,1,2,1
108,25-34,Male,Other,"Rs. 2,00,000- 5,00,000",No,500,450,50,65000,300,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Indifferent,Indifferent,Indifferent,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,1,1,1,1,1,1,1
109,18-24,Male,Bangalore,"Rs. 2,00,000- 5,00,000","Yes, but only for myself",450,399,50,40000,350,Yes,No,No,No,Yes,No,No,No,Yes,No,Indifferent,Online,Pre Planned,Less Frequent,0.1,The deal seems ingenuine and a marketing tactic,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Overestimated,Overestimated,Overestimated,Overestimated,Accurate,1,1,1,1,1,0,2,2
110,25-34,Female,Other,"Rs. 2,00,000- 5,00,000",No,250,300,45,35000,350,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Indifferent,Indifferent,Indifferent,Indifferent,0.1,The deal is genuine,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Accurate,Accurate,Overestimated,Accurate,1,1,1,1,1,1,0,1
111,18-24,Female,Delhi/NCR,,No,250,300,45,10000,50,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Digital,Indifferent,Pre Planned,More Frequent,0.05,The deal is genuine,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,1,2,2,1,1,0,0,0
112,18-24,Male,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",300,300,40,25000,150,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Digital,Indifferent,Indifferent,Indifferent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Accurate,Accurate,Overestimated,Underestimated,1,2,1,1,1,0,2,0
113,18-24,Female,Delhi/NCR,"Rs. 50,000- 2,00,000",No,200,600,60,23000,150,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Overestimated,Overestimated,Overestimated,Underestimated,2,2,2,2,2,0,1,1
114,25-34,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, but only for myself",250,400,45,7000,180,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Accurate,Accurate,Underestimated,2,1,2,2,2,1,1,0
115,18-24,Female,Bangalore,"Rs. 50,000- 2,00,000","Yes, but only for myself",350,600,40,20000,400,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Digital,Online,Indifferent,More Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Overestimated,Accurate,Overestimated,Overestimated,1,1,1,1,2,0,1,2
116,18-24,Female,Other,"Below Rs. 50,000",No,200,200,40,20000,600,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is genuine,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Accurate,Accurate,Overestimated,Overestimated,2,2,1,2,2,0,0,0
117,18-24,Female,Delhi/NCR,"Below Rs. 50,000",No,300,200,50,25000,700,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Accurate,Overestimated,Overestimated,Overestimated,1,1,1,1,1,0,1,1
118,55+,Male,Other,"Above Rs. 5,00,000","Yes, for the whole household",300,250,80,4000,80,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,Indifferent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Very Little Time,Accurate,Accurate,Overestimated,Underestimated,Underestimated,2,1,1,2,1,3,2,0
119,18-24,Female,Delhi/NCR,"Below Rs. 50,000",No,200,500,30,25000,600,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Accurate,Overestimated,Underestimated,Overestimated,Overestimated,1,1,1,2,2,0,1,0
120,25-34,Male,Mumbai,"Rs. 50,000- 2,00,000","Yes, but only for myself",200,500,40,25000,400,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0.05,The deal seems ingenuine and a marketing tactic,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,1,1,1,1,1,1,2,1
121,18-24,Female,Bangalore,"Rs. 50,000- 2,00,000",No,150,199,12,26000,260,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Digital,Indifferent,Indifferent,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Excessive Time,Underestimated,Underestimated,Underestimated,Overestimated,Accurate,1,1,1,2,2,0,1,0
122,18-24,Female,Delhi/NCR,"Below Rs. 50,000",No,300,500,40,10000,600,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,2,2,1,1,1,0,0,2
123,25-34,Male,Delhi/NCR,"Below Rs. 50,000","Yes, for the whole household",290,150,40,6350,310,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Indifferent,Online,Indifferent,Indifferent,0.05,The deal is genuine,In most cases I feel the price is justified because the product is better,Considerable Time,Accurate,Underestimated,Accurate,Underestimated,Accurate,1,0,0,1,0,1,0,1
124,25-34,Male,Other,"Rs. 50,000- 2,00,000","Yes, for the whole household",330,200,40,7400,125,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Offline,Indifferent,Indifferent,0.1,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,1,1,0,0,1,1,1,1
125,25-34,Male,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",315,245,50,5300,155,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Online,Pre Planned,Less Frequent,0.05,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Considerable Time,Overestimated,Accurate,Overestimated,Underestimated,Underestimated,2,1,1,2,1,1,0,2
126,25-34,Female,Mumbai,"Below Rs. 50,000",No,300,500,30,20000,400,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is genuine,"In most cases I feel the price is justified only when there are other cost elements involved (eg: the product adhering to sustainable practices, import duties, delivery charges, etc.)",Excessive Time,Accurate,Overestimated,Underestimated,Overestimated,Overestimated,1,1,1,1,1,1,0,2
127,18-24,Male,Delhi/NCR,"Below Rs. 50,000","Yes, but only for myself",250,350,40,10000,200,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Spontaneous,Indifferent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Underestimated,2,2,1,1,1,0,1,0
128,25-34,Male,Kolkata,"Below Rs. 50,000","Yes, but only for myself",300,500,40,25000,500,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,More Frequent,0,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Excessive Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,2,2,1,1,1,1,1,1
129,25-34,Female,Delhi/NCR,"Rs. 50,000- 2,00,000","Yes, for the whole household",400,290,45,7800,200,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the price is justified because the product is better,Considerable Time,Overestimated,Accurate,Accurate,Accurate,Underestimated,2,1,2,2,2,1,1,1
130,55+,Female,Mumbai,"Rs. 50,000- 2,00,000",No,300,400,50,15000,600,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Online,Spontaneous,Indifferent,0,The deal seems ingenuine and a marketing tactic,In most cases I feel the brand is overcharging,Considerable Time,Accurate,Overestimated,Overestimated,Overestimated,Overestimated,1,2,2,1,2,3,2,0
131,55+,Male,Mumbai,"Rs. 2,00,000- 5,00,000","Yes, for the whole household",300,500,40,15000,400,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Digital,Indifferent,Pre Planned,Less Frequent,0.05,The deal is likely to be shadowed by additional hidden costs,In most cases I feel the brand is overcharging,Moderate Time,Accurate,Overestimated,Accurate,Overestimated,Overestimated,2,2,1,2,2,3,1,0
